,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,cat
499,0.64584,0.75013,0.85397,0.94807,1.0238,1.074,1.0938,1.0808,1.0357,0.96175,0.31,0.31188,0.31225,0.31375,0.31892,0.32992,0.3483,0.3748,0.40933,0.4509,nde
197,-0.0019646,0.039373,0.060885,0.070074,0.075567,0.086251,0.11037,0.15471,0.22387,0.31984,-0.23928,-0.23536,-0.21566,-0.18541,-0.14941,-0.1112,-0.072932,-0.035529,0.0011128,0.037921,wiener
272,0.026654,0.091048,0.13656,0.1583,0.15397,0.12417,0.072242,0.0040044,-0.072858,-0.14955,-0.20537,-0.20643,-0.19247,-0.16659,-0.13247,-0.093716,-0.053687,-0.015591,0.017456,0.04256,wiener
281,-0.14955,-0.21703,-0.26692,-0.29233,-0.28855,-0.25353,-0.18808,-0.095828,0.017123,0.14278,0.04256,0.057406,0.060658,0.052231,0.033291,0.006109,-0.026121,-0.059422,-0.089257,-0.11099,wiener
509,0.86495,0.75306,0.63499,0.51994,0.41648,0.33171,0.27058,0.23541,0.22568,0.23806,0.4977,0.54729,0.5968,0.64314,0.68335,0.71483,0.73558,0.74445,0.7412,0.72657,nde
320,0.75306,0.63499,0.51994,0.41648,0.33171,0.27058,0.23541,0.22568,0.23806,0.26679,0.3445,0.32578,0.30497,0.28283,0.25985,0.23647,0.21335,0.19134,0.17154,0.15518,wiener
242,1.0275,0.90393,0.80091,0.72354,0.67431,0.65284,0.65594,0.67797,0.71139,0.74754,0.3761,0.35901,0.34088,0.32251,0.30485,0.28896,0.27593,0.26676,0.26222,0.26262,wiener
177,-1.822,-1.7552,-1.6642,-1.5566,-1.4415,-1.328,-1.2247,-1.1386,-1.0747,-1.0353,-1.0005,-1.0138,-1.0265,-1.0374,-1.0456,-1.0499,-1.0497,-1.0444,-1.0336,-1.0177,hammerstein
532,-0.61401,-0.75714,-0.87776,-0.97072,-1.0335,-1.0666,-1.073,-1.0585,-1.0305,-0.99771,0.44467,0.43188,0.41029,0.37824,0.33491,0.28043,0.21582,0.14297,0.064393,-0.016976,nde
22,1.2392,1.3774,1.4893,1.5701,1.6172,1.6313,1.6157,1.5763,1.5206,1.4577,0.31389,0.39876,0.48702,0.57644,0.66468,0.74945,0.8286,0.9003,0.96302,1.0156,hammerstein
485,0.65155,0.68232,0.68413,0.66018,0.61614,0.55958,0.4992,0.44394,0.40211,0.38056,-0.11748,-0.10788,-0.087469,-0.057116,-0.018475,0.026195,0.074218,0.12274,0.16901,0.21058,nde
513,0.41648,0.33171,0.27058,0.23541,0.22568,0.23806,0.26679,0.30423,0.34163,0.37,0.68335,0.71483,0.73558,0.74445,0.7412,0.72657,0.70219,0.67041,0.63408,0.59623,nde
94,-0.29233,-0.28855,-0.25353,-0.18808,-0.095828,0.017123,0.14278,0.27201,0.39544,0.50433,-0.030139,-0.034847,-0.047654,-0.06596,-0.086371,-0.10499,-0.1178,-0.12108,-0.11197,-0.088791,hammerstein
548,-1.2125,-1.3271,-1.449,-1.5692,-1.6785,-1.768,-1.8308,-1.8618,-1.8586,-1.822,-0.46296,-0.49923,-0.53186,-0.56325,-0.59595,-0.6323,-0.67426,-0.72315,-0.77959,-0.84333,nde
248,0.65594,0.67797,0.71139,0.74754,0.77749,0.79298,0.78718,0.75546,0.6958,0.60906,0.27593,0.26676,0.26222,0.26262,0.26766,0.27625,0.28662,0.29647,0.30342,0.30548,wiener
477,-0.18808,-0.095828,0.017123,0.14278,0.27201,0.39544,0.50433,0.59139,0.65155,0.68232,0.053942,0.029472,0.00088259,-0.029549,-0.059158,-0.085157,-0.10492,-0.11622,-0.11748,-0.10788,nde
388,0.039373,0.060885,0.070074,0.075567,0.086251,0.11037,0.15471,0.22387,0.31984,0.44173,-0.33473,-0.35158,-0.35709,-0.35331,-0.34272,-0.32785,-0.31106,-0.2942,-0.27846,-0.26429,nde
267,-0.29814,-0.26167,-0.20274,-0.12907,-0.04956,0.026654,0.091048,0.13656,0.1583,0.15397,-0.0046659,-0.058706,-0.11035,-0.15501,-0.18787,-0.20537,-0.20643,-0.19247,-0.16659,-0.13247,wiener
212,1.2392,1.3774,1.4893,1.5701,1.6172,1.6313,1.6157,1.5763,1.5206,1.4577,0.31771,0.35998,0.39034,0.40809,0.41562,0.41664,0.41445,0.41101,0.40704,0.40249,wiener
62,0.77749,0.79298,0.78718,0.75546,0.6958,0.60906,0.49887,0.37133,0.23442,0.097206,0.68165,0.6514,0.62718,0.60886,0.59561,0.58591,0.57764,0.5682,0.55469,0.5341,hammerstein
2,-0.61093,-0.43903,-0.28836,-0.16409,-0.068736,-0.0019646,0.039373,0.060885,0.070074,0.075567,-0.026165,-0.068626,-0.11821,-0.167,-0.20886,-0.23971,-0.25754,-0.26215,-0.25463,-0.23692,hammerstein
502,0.94807,1.0238,1.074,1.0938,1.0808,1.0357,0.96175,0.86495,0.75306,0.63499,0.31375,0.31892,0.32992,0.3483,0.3748,0.40933,0.4509,0.4977,0.54729,0.5968,nde
273,0.091048,0.13656,0.1583,0.15397,0.12417,0.072242,0.0040044,-0.072858,-0.14955,-0.21703,-0.20643,-0.19247,-0.16659,-0.13247,-0.093716,-0.053687,-0.015591,0.017456,0.04256,0.057406,wiener
418,1.4116,1.4848,1.5651,1.6439,1.7119,1.761,1.7841,1.7766,1.7364,1.6644,0.95638,0.98688,1.009,1.0253,1.0386,1.0517,1.0671,1.0867,1.1116,1.1419,nde
57,0.65284,0.65594,0.67797,0.71139,0.74754,0.77749,0.79298,0.78718,0.75546,0.6958,0.88078,0.841,0.799,0.75704,0.7173,0.68165,0.6514,0.62718,0.60886,0.59561,hammerstein
460,-0.12907,-0.04956,0.026654,0.091048,0.13656,0.1583,0.15397,0.12417,0.072242,0.0040044,0.42248,0.35503,0.29,0.23032,0.17848,0.13626,0.1046,0.083548,0.072263,0.069134,nde
538,-1.073,-1.0585,-1.0305,-0.99771,-0.96908,-0.95286,-0.95586,-0.98274,-1.0355,-1.1133,0.21582,0.14297,0.064393,-0.016976,-0.098112,-0.17618,-0.24879,-0.31424,-0.37163,-0.42094,nde
199,0.060885,0.070074,0.075567,0.086251,0.11037,0.15471,0.22387,0.31984,0.44173,0.58589,-0.21566,-0.18541,-0.14941,-0.1112,-0.072932,-0.035529,0.0011128,0.037921,0.076386,0.11815,wiener
314,1.074,1.0938,1.0808,1.0357,0.96175,0.86495,0.75306,0.63499,0.51994,0.41648,0.31052,0.34093,0.36174,0.37099,0.36952,0.35979,0.3445,0.32578,0.30497,0.28283,wiener
220,1.5206,1.4577,1.3967,1.346,1.3128,1.3019,1.3155,1.3532,1.4116,1.4848,0.40704,0.40249,0.39712,0.39091,0.38421,0.37777,0.37253,0.36948,0.36941,0.37274,wiener
492,0.44394,0.40211,0.38056,0.38397,0.41437,0.47096,0.55014,0.64584,0.75013,0.85397,0.12274,0.16901,0.21058,0.24559,0.2729,0.29222,0.30412,0.31,0.31188,0.31225,nde
374,-1.1386,-1.0747,-1.0353,-1.02,-1.0253,-1.0455,-1.073,-1.0991,-1.1147,-1.1115,-0.37666,-0.3635,-0.35132,-0.34104,-0.33348,-0.32922,-0.32849,-0.33103,-0.33602,-0.34214,wiener
