,u_0,y_0,y_1
160,-0.64244,-0.5237,-0.53819
161,-0.64244,-0.53819,-0.54819
162,1.1684,-0.54819,-0.076765
163,1.1684,-0.076765,0.2884
164,1.1684,0.2884,0.50911
165,1.2984,0.50911,0.66259
166,1.2984,0.66259,0.7522
167,1.2984,0.7522,0.80717
168,1.4917,0.80717,0.86723
169,1.4917,0.86723,0.90478
170,1.4917,0.90478,0.92909
171,0.82606,0.92909,0.86972
172,0.82606,0.86972,0.82249
173,0.82606,0.82249,0.78628
174,1.0411,0.78628,0.79214
175,1.0411,0.79214,0.79619
176,1.0411,0.79619,0.79901
177,0.91719,0.79901,0.78263
178,0.91719,0.78263,0.77084
179,0.91719,0.77084,0.76242
180,-0.92468,0.76242,0.37285
181,-0.92468,0.37285,-0.003607
182,-0.92468,-0.003607,-0.27294
183,0.58328,-0.27294,-0.020964
184,0.58328,-0.020964,0.15896
185,0.58328,0.15896,0.27967
186,-0.98423,0.27967,-0.093952
187,-0.98423,-0.093952,-0.34664
188,-0.98423,-0.34664,-0.50141
189,-0.17172,-0.50141,-0.41048
190,-0.17172,-0.41048,-0.34215
191,-0.17172,-0.34215,-0.29221
192,-1.8816,-0.29221,-0.65935
193,-1.8816,-0.65935,-0.83616
194,-1.8816,-0.83616,-0.92948
195,2.0088,-0.92948,-0.32322
196,2.0088,-0.32322,0.35275
197,2.0088,0.35275,0.71046
198,2.071,0.71046,0.88559
199,2.071,0.88559,0.97588
200,2.071,0.97588,1.0275
201,0.42254,1.0275,0.90978
202,0.42254,0.90978,0.79862
203,0.42254,0.79862,0.70189
204,-1.0353,0.70189,0.2742
205,-1.0353,0.2742,-0.11319
206,-1.0353,-0.11319,-0.37199
